replacement_id,incident_id,part_id,service_date,replacement_cost,labor_cost,transportation_cost,warranty_status,resolution_date,service_center,part_arrival_date
675,1077,15,2023-11-18,14823.71,1485.67,266.69,In Warranty,2023-12-06,Service Center 5,2023-11-19
676,1096,8,2023-11-18,1975.3,351.79,1045.98,In Warranty,2023-11-25,Service Center 7,2023-11-21
677,1092,8,2023-11-19,1925.79,742.74,1042.52,In Warranty,2023-11-26,Service Center 2,2023-11-24
678,1104,25,2023-11-20,5651.34,6092.56,234.11,In Warranty,2023-11-22,Service Center 1,2023-11-20
679,1101,27,2023-11-20,8549.53,3183.54,2103.0,In Warranty,2023-11-29,Service Center 7,2023-11-26
680,1078,16,2023-11-21,1967.33,1511.09,234.02,In Warranty,2023-12-03,Service Center 2,2023-11-29
681,1109,20,2023-11-22,5659.09,1984.87,1468.02,In Warranty,2023-12-09,Service Center 2,2023-12-05
682,1109,21,2023-11-22,4000.12,788.89,1456.47,In Warranty,2023-12-09,Service Center 2,2023-12-05
683,1111,12,2023-11-23,4301.59,1653.23,1128.27,In Warranty,2023-12-10,Service Center 3,2023-12-05
684,1115,8,2023-11-25,1777.55,879.09,1334.31,Out of Warranty,2023-12-07,Service Center 4,2023-12-04
685,1114,8,2023-11-25,1731.01,1366.51,1422.44,In Warranty,2023-12-04,Service Center 1,2023-12-01
686,1122,7,2023-11-25,923.96,1450.84,168.35,In Warranty,2023-12-01,Service Center 6,2023-11-28
687,1119,13,2023-11-25,450.32,1594.04,1389.97,In Warranty,2023-12-11,Service Center 1,2023-12-08
688,1110,14,2023-11-25,764.02,1781.51,519.47,In Warranty,2023-12-04,Service Center 4,2023-11-29
689,1098,15,2023-11-26,15774.09,1356.0,228.31,In Warranty,2023-12-02,Service Center 1,2023-11-30
690,1112,2,2023-11-26,667.97,5430.91,1731.31,In Warranty,2023-12-18,Service Center 3,2023-12-12
691,1116,23,2023-11-26,2281.19,2076.81,373.1,In Warranty,2023-11-29,Service Center 8,2023-11-26
692,1133,23,2023-11-27,2283.62,2324.85,345.88,In Warranty,2023-11-30,Service Center 2,2023-11-27
693,1123,24,2023-11-27,1164.91,1292.06,185.49,In Warranty,2023-11-30,Service Center 3,2023-11-29
694,1135,26,2023-11-27,1752.7,4801.4,2222.54,In Warranty,,Service Center 7,2023-12-18
695,1125,27,2023-11-28,8962.88,2155.5,1911.21,In Warranty,2023-12-09,Service Center 2,2023-12-06
696,1141,20,2023-11-29,5168.24,2214.96,1287.4,In Warranty,2023-12-11,Service Center 2,2023-12-09
697,1139,8,2023-11-29,1856.22,1382.37,1141.37,In Warranty,2023-12-05,Service Center 6,2023-12-01
698,1141,19,2023-11-29,21747.76,571.01,1047.67,In Warranty,2023-12-11,Service Center 2,2023-12-09
699,1144,16,2023-11-30,1835.61,1804.02,267.73,In Warranty,2023-12-10,Service Center 3,2023-12-07
700,1129,13,2023-11-30,445.53,2754.59,1869.61,In Warranty,2023-12-17,Service Center 5,2023-12-08
701,1142,18,2023-11-30,9866.48,1852.33,687.61,In Warranty,2023-12-12,Service Center 4,2023-12-08
702,1137,7,2023-12-01,885.64,1309.94,177.42,In Warranty,2023-12-04,Service Center 2,2023-12-02
703,1147,21,2023-12-01,3830.9,2082.98,1488.59,In Warranty,2023-12-15,Service Center 4,2023-12-11
704,1148,1,2023-12-01,1242.8,3989.76,2721.69,In Warranty,2023-12-14,Service Center 1,2023-12-11
705,1151,3,2023-12-01,19349.77,3812.19,553.57,In Warranty,2023-12-05,Service Center 1,2023-12-01
706,1120,9,2023-12-02,1639.0,1333.23,372.74,In Warranty,2023-12-07,Service Center 4,2023-12-02
707,1108,27,2023-12-02,8917.12,3097.21,2230.67,In Warranty,2023-12-25,Service Center 2,2023-12-24
708,1157,3,2023-12-02,18976.59,5067.21,2110.25,In Warranty,2023-12-24,Service Center 1,2023-12-20
709,1136,11,2023-12-02,2144.85,2130.85,172.23,In Warranty,2023-12-05,Service Center 3,2023-12-04
710,1150,10,2023-12-02,3458.73,872.63,702.68,In Warranty,2023-12-09,Service Center 7,2023-12-06
711,1153,24,2023-12-02,1090.54,2007.49,56.59,In Warranty,2023-12-06,Service Center 7,2023-12-02
712,1162,13,2023-12-03,494.32,2802.01,1549.02,In Warranty,2023-12-14,Service Center 3,2023-12-10
713,1145,13,2023-12-03,493.27,2178.87,482.22,In Warranty,2023-12-05,Service Center 3,2023-12-03
714,1154,22,2023-12-04,2609.05,1932.95,1334.29,In Warranty,2023-12-11,Service Center 2,2023-12-09
715,1154,23,2023-12-04,2141.76,935.71,1066.9,In Warranty,2023-12-11,Service Center 2,2023-12-09
716,1161,7,2023-12-05,968.25,1106.54,190.99,In Warranty,2023-12-12,Service Center 3,2023-12-06
717,1170,12,2023-12-05,4081.55,2562.95,1324.03,In Warranty,2023-12-14,Service Center 3,2023-12-11
718,1166,7,2023-12-05,980.01,1352.15,170.03,Out of Warranty,2023-12-10,Service Center 4,2023-12-07
719,1164,24,2023-12-05,1178.15,2122.13,168.89,In Warranty,2023-12-12,Service Center 4,2023-12-07
720,1174,27,2023-12-05,8178.36,3025.3,1619.45,In Warranty,2023-12-13,Service Center 2,2023-12-12
721,1167,29,2023-12-06,5024.68,2860.95,407.8,In Warranty,2023-12-07,Service Center 1,2023-12-06
722,1176,13,2023-12-06,441.77,2419.9,1511.16,In Warranty,2023-12-13,Service Center 3,2023-12-09
723,1171,25,2023-12-06,5382.09,7259.9,952.74,In Warranty,2023-12-13,Service Center 1,2023-12-12
724,1178,16,2023-12-06,1972.47,1078.55,242.41,In Warranty,2023-12-09,Service Center 1,2023-12-08
725,1177,23,2023-12-06,2207.82,2314.28,1167.34,In Warranty,2023-12-18,Service Center 7,2023-12-15
726,1179,21,2023-12-08,4151.27,2286.23,353.6,In Warranty,2023-12-10,Service Center 1,2023-12-08
727,1184,8,2023-12-08,1915.41,848.09,962.69,In Warranty,2023-12-29,Service Center 3,2023-12-25
728,1132,8,2023-12-10,1740.5,1067.41,339.17,In Warranty,2023-12-15,Service Center 5,2023-12-10
729,1188,21,2023-12-10,3806.82,1406.85,1216.12,In Warranty,2024-01-06,Service Center 1,2024-01-01
730,1194,18,2023-12-10,9262.68,1348.47,548.48,In Warranty,2023-12-21,Service Center 5,2023-12-17
731,1197,25,2023-12-10,5418.56,6457.05,899.56,In Warranty,2023-12-20,Service Center 2,2023-12-16
732,1180,5,2023-12-11,3106.72,2263.99,503.76,In Warranty,2023-12-17,Service Center 2,2023-12-13
733,1181,21,2023-12-11,4211.38,2401.2,416.24,Out of Warranty,2023-12-13,Service Center 2,2023-12-11
734,1202,5,2023-12-11,3282.23,1423.09,513.37,In Warranty,2023-12-20,Service Center 2,2023-12-18
735,1201,16,2023-12-12,1890.27,1771.84,67.71,In Warranty,2023-12-16,Service Center 3,2023-12-12
736,1187,27,2023-12-12,8989.08,1924.63,647.7,In Warranty,2023-12-18,Service Center 7,2023-12-12
737,1210,5,2023-12-12,3519.7,1438.26,522.37,In Warranty,2023-12-16,Service Center 2,2023-12-15
738,1199,13,2023-12-12,470.9,1793.53,1873.61,Out of Warranty,2023-12-21,Service Center 4,2023-12-17
739,1200,22,2023-12-12,2780.61,2262.0,1314.14,In Warranty,2023-12-21,Service Center 1,2023-12-16
740,1187,28,2023-12-12,374.57,1029.88,58.57,In Warranty,2023-12-18,Service Center 7,2023-12-12
741,1189,4,2023-12-13,3013.51,4226.52,260.43,In Warranty,2023-12-15,Service Center 4,2023-12-13
742,1183,14,2023-12-13,667.51,1584.43,599.23,In Warranty,2023-12-23,Service Center 5,2023-12-20
743,1211,6,2023-12-13,2612.37,1800.23,440.96,In Warranty,2023-12-16,Service Center 2,2023-12-13
744,1191,20,2023-12-15,5378.51,1444.23,1368.51,In Warranty,2023-12-27,Service Center 8,2023-12-19
745,1206,7,2023-12-15,954.83,1415.93,139.47,In Warranty,2023-12-22,Service Center 6,2023-12-19
746,1192,15,2023-12-15,13798.28,1853.19,280.87,In Warranty,2023-12-26,Service Center 5,2023-12-18
747,1220,13,2023-12-15,445.71,2030.15,580.99,In Warranty,2023-12-18,Service Center 3,2023-12-15
748,1219,7,2023-12-16,952.27,970.54,167.74,In Warranty,2023-12-20,Service Center 2,2023-12-18
749,1225,21,2023-12-17,3919.53,1491.98,394.81,In Warranty,2023-12-20,Service Center 5,2023-12-17
750,1216,25,2023-12-18,5705.68,7775.41,221.96,In Warranty,2023-12-20,Service Center 1,2023-12-18
751,1228,13,2023-12-18,450.43,2444.39,1253.09,In Warranty,2023-12-23,Service Center 1,2023-12-21
752,1193,27,2023-12-18,9127.92,2357.49,1601.56,Out of Warranty,2023-12-24,Service Center 7,2023-12-22
753,1242,15,2023-12-18,15021.59,1309.62,65.44,In Warranty,2023-12-21,Service Center 2,2023-12-18
754,1237,6,2023-12-19,2554.88,2213.31,319.06,In Warranty,2023-12-22,Service Center 1,2023-12-19
755,1245,24,2023-12-19,1187.02,1690.51,175.32,In Warranty,2023-12-23,Service Center 1,2023-12-21
756,1243,7,2023-12-19,929.96,883.36,184.97,In Warranty,2023-12-24,Service Center 2,2023-12-21
757,1217,1,2023-12-19,1262.87,5219.86,2675.2,In Warranty,2024-01-07,Service Center 3,2024-01-06
758,1231,1,2023-12-19,1164.61,5436.34,813.4,In Warranty,2023-12-21,Service Center 2,2023-12-19
759,1233,16,2023-12-19,1973.31,1109.09,328.54,In Warranty,2023-12-26,Service Center 6,2023-12-22
760,1233,15,2023-12-19,15267.14,438.06,299.8,In Warranty,2023-12-26,Service Center 6,2023-12-22
761,1238,4,2023-12-20,3069.96,4464.08,56.56,In Warranty,2023-12-24,Service Center 5,2023-12-20
762,1240,6,2023-12-20,2463.58,2123.61,1093.65,In Warranty,2024-01-10,Service Center 3,2024-01-02
763,1246,30,2023-12-21,870.73,1429.49,475.02,In Warranty,2024-01-01,Service Center 4,2023-12-30
764,1254,18,2023-12-21,9250.02,1195.23,176.27,In Warranty,2023-12-23,Service Center 8,2023-12-21
765,1224,15,2023-12-21,13940.1,1241.61,219.95,In Warranty,2024-01-02,Service Center 6,2023-12-30
766,1250,27,2023-12-23,8215.14,2689.85,1833.72,In Warranty,2024-01-09,Service Center 3,2024-01-03
767,1222,19,2023-12-23,21285.15,1435.99,1166.65,In Warranty,2024-01-09,Service Center 8,2024-01-06
768,1261,5,2023-12-24,3360.05,1962.42,711.21,In Warranty,,Service Center 1,2023-12-29
769,1257,16,2023-12-25,2071.12,1304.46,278.08,In Warranty,2024-01-01,Service Center 3,2023-12-27
770,1253,27,2023-12-25,8309.67,2462.21,600.87,Out of Warranty,2023-12-28,Service Center 3,2023-12-25
771,1264,26,2023-12-25,1712.33,5897.75,2414.26,In Warranty,2024-01-02,Service Center 4,2023-12-29
772,1248,10,2023-12-26,3787.88,892.28,484.65,In Warranty,2024-01-01,Service Center 4,2023-12-30
773,1252,7,2023-12-27,988.87,1086.11,191.52,In Warranty,2024-01-01,Service Center 3,2023-12-29
774,1270,24,2023-12-27,1137.72,1941.23,122.75,In Warranty,2023-12-30,Service Center 1,2023-12-29
775,1262,23,2023-12-28,2069.79,2225.72,1004.07,In Warranty,2024-01-19,Service Center 2,2024-01-16
776,1251,20,2023-12-28,5668.05,1382.3,1244.58,In Warranty,2024-01-14,Service Center 8,2024-01-08
777,1273,11,2023-12-29,2319.85,1880.85,52.78,In Warranty,2023-12-31,Service Center 4,2023-12-29
778,1282,5,2023-12-29,3414.92,2300.09,641.49,In Warranty,2024-01-07,Service Center 5,2024-01-02
779,1263,8,2023-12-30,1848.83,1014.18,384.98,In Warranty,2023-12-31,Service Center 5,2023-12-30
780,1275,27,2023-12-30,8426.07,2443.72,1831.92,In Warranty,2024-01-07,Service Center 3,2024-01-05
781,1286,24,2024-01-02,1066.65,1409.99,144.93,In Warranty,2024-01-08,Service Center 6,2024-01-04
782,1286,22,2024-01-02,2486.49,693.38,1595.04,In Warranty,2024-01-08,Service Center 6,2024-01-04
783,1288,16,2024-01-03,2027.89,1456.55,95.39,In Warranty,2024-01-07,Service Center 1,2024-01-03
784,1284,22,2024-01-04,2471.9,1693.07,1115.71,In Warranty,2024-01-13,Service Center 3,2024-01-08
785,1294,13,2024-01-04,433.38,2726.18,419.41,In Warranty,2024-01-09,Service Center 7,2024-01-04
786,1297,13,2024-01-05,489.66,1820.58,1639.31,In Warranty,2024-01-15,Service Center 5,2024-01-13
787,1290,4,2024-01-05,2996.45,4416.84,207.44,In Warranty,2024-01-07,Service Center 4,2024-01-06
788,1289,27,2024-01-06,8224.83,3061.39,522.94,In Warranty,2024-01-07,Service Center 4,2024-01-06
789,1293,12,2024-01-06,4055.46,2143.65,1356.93,In Warranty,,Service Center 4,2024-01-10
790,1293,11,2024-01-06,2119.66,603.52,186.07,In Warranty,,Service Center 4,2024-01-10
791,1301,11,2024-01-07,2181.57,2848.28,47.91,In Warranty,2024-01-08,Service Center 8,2024-01-07
792,1301,13,2024-01-07,440.65,943.23,430.9,In Warranty,2024-01-08,Service Center 8,2024-01-07
793,1298,21,2024-01-08,4089.79,2008.94,1266.14,In Warranty,2024-01-28,Service Center 4,2024-01-25
794,1283,6,2024-01-08,2620.8,2147.62,380.33,In Warranty,2024-01-10,Service Center 4,2024-01-08
795,1305,6,2024-01-08,2413.91,1983.39,1174.72,In Warranty,2024-01-27,Service Center 1,2024-01-25
796,1298,19,2024-01-08,23312.71,579.44,1629.52,In Warranty,2024-01-28,Service Center 4,2024-01-25
797,1308,12,2024-01-09,4003.27,2598.51,1275.76,In Warranty,2024-01-16,Service Center 7,2024-01-14
798,1303,15,2024-01-09,15120.82,1703.43,275.84,In Warranty,2024-01-18,Service Center 2,2024-01-16
799,1295,8,2024-01-10,1903.54,790.46,1365.91,In Warranty,2024-01-27,Service Center 3,2024-01-22
800,1300,13,2024-01-10,468.75,2227.39,1343.3,In Warranty,2024-01-19,Service Center 3,2024-01-15
801,1312,22,2024-01-10,2801.93,2059.91,383.31,In Warranty,2024-01-12,Service Center 1,2024-01-10
802,1299,20,2024-01-11,5181.76,2408.27,1135.83,Out of Warranty,2024-01-20,Service Center 2,2024-01-16
803,1307,11,2024-01-12,2231.73,2057.45,161.63,In Warranty,2024-01-20,Service Center 7,2024-01-17
804,1323,5,2024-01-12,3459.78,1718.26,611.4,In Warranty,2024-01-22,Service Center 6,2024-01-19
805,1309,22,2024-01-13,2539.99,1924.78,1541.43,In Warranty,2024-01-28,Service Center 7,2024-01-26
806,1320,27,2024-01-14,8846.13,2123.24,480.22,Out of Warranty,2024-01-16,Service Center 1,2024-01-14
807,1319,7,2024-01-14,946.02,858.78,134.16,In Warranty,2024-01-23,Service Center 5,2024-01-17
808,1322,13,2024-01-14,447.7,2181.03,1711.23,In Warranty,2024-01-26,Service Center 3,2024-01-23
809,1329,6,2024-01-15,2330.86,1634.87,435.88,In Warranty,2024-01-18,Service Center 8,2024-01-15
810,1311,24,2024-01-15,1159.19,1469.97,37.79,In Warranty,2024-01-20,Service Center 1,2024-01-15
811,1311,22,2024-01-15,2775.39,721.45,436.58,In Warranty,2024-01-20,Service Center 1,2024-01-15
812,1316,6,2024-01-16,2431.44,2234.89,1471.02,In Warranty,2024-01-31,Service Center 3,2024-01-29
813,1316,5,2024-01-16,3334.97,575.68,679.83,In Warranty,2024-01-31,Service Center 3,2024-01-29
814,1335,24,2024-01-17,1063.23,1645.65,188.2,In Warranty,2024-01-29,Service Center 1,2024-01-21
815,1337,21,2024-01-18,3815.4,1829.88,489.27,In Warranty,2024-01-22,Service Center 2,2024-01-18
816,1327,30,2024-01-18,881.69,1326.49,178.61,In Warranty,2024-01-21,Service Center 2,2024-01-18
817,1338,22,2024-01-19,2517.69,2088.42,1579.88,In Warranty,2024-02-03,Service Center 5,2024-01-27
818,1325,18,2024-01-19,9070.92,1032.8,214.72,In Warranty,2024-01-21,Service Center 2,2024-01-19
819,1347,18,2024-01-20,10379.03,983.0,626.7,In Warranty,2024-02-06,Service Center 4,2024-02-02
820,1341,24,2024-01-21,1200.39,2151.28,130.71,In Warranty,2024-01-24,Service Center 3,2024-01-23
821,1346,24,2024-01-21,1084.76,2217.69,46.82,In Warranty,2024-01-24,Service Center 2,2024-01-21
822,1356,15,2024-01-25,15471.83,1230.36,87.58,Out of Warranty,2024-01-27,Service Center 1,2024-01-25
823,1358,28,2024-01-26,333.53,2481.95,229.65,In Warranty,2024-01-30,Service Center 5,2024-01-29
824,1354,18,2024-01-27,9416.36,1797.41,484.25,In Warranty,2024-02-08,Service Center 6,2024-02-07
825,1350,23,2024-01-27,2243.19,2131.36,924.29,In Warranty,2024-02-21,Service Center 8,2024-02-17
826,1365,10,2024-01-28,3706.73,845.54,596.43,In Warranty,2024-02-06,Service Center 8,2024-02-03
827,1360,16,2024-01-28,1895.78,1521.79,259.53,In Warranty,2024-02-08,Service Center 5,2024-02-05
828,1364,13,2024-01-28,440.82,2687.52,1936.4,In Warranty,2024-03-06,Service Center 1,2024-03-04
829,1366,11,2024-01-31,2374.3,1790.56,189.45,In Warranty,2024-02-09,Service Center 2,2024-02-02
830,1362,20,2024-02-01,5475.21,2218.88,1316.42,In Warranty,2024-02-08,Service Center 8,2024-02-04
831,1374,2,2024-02-03,702.71,3330.9,1374.43,In Warranty,2024-02-19,Service Center 3,2024-02-16
832,1373,26,2024-02-03,1866.11,5057.31,1901.13,In Warranty,2024-02-17,Service Center 2,2024-02-12
833,1370,23,2024-02-03,2019.72,1983.89,398.96,In Warranty,2024-02-06,Service Center 2,2024-02-03
834,1353,16,2024-02-04,1995.86,1529.36,85.43,In Warranty,2024-02-05,Service Center 8,2024-02-04
835,1372,8,2024-02-05,1818.15,1143.59,1286.6,In Warranty,2024-02-15,Service Center 2,2024-02-11
836,1372,9,2024-02-05,1594.94,584.36,1357.05,In Warranty,2024-02-15,Service Center 2,2024-02-11
837,1378,4,2024-02-06,2724.3,5170.67,292.0,In Warranty,2024-02-12,Service Center 4,2024-02-08
838,1387,15,2024-02-06,14569.97,1060.6,327.69,In Warranty,2024-02-09,Service Center 3,2024-02-07
839,1378,3,2024-02-06,17619.73,1438.05,2391.19,In Warranty,2024-02-12,Service Center 4,2024-02-08
840,1383,14,2024-02-07,682.04,2569.99,504.34,In Warranty,2024-02-11,Service Center 1,2024-02-08
841,1388,21,2024-02-07,3812.93,1531.34,394.22,In Warranty,2024-02-09,Service Center 2,2024-02-07
842,1389,7,2024-02-08,893.57,1270.23,154.13,In Warranty,2024-02-12,Service Center 1,2024-02-10
843,1393,19,2024-02-08,23589.03,1287.76,1068.71,In Warranty,2024-02-19,Service Center 3,2024-02-17
844,1386,4,2024-02-08,2800.62,5683.61,282.53,In Warranty,2024-02-15,Service Center 3,2024-02-11
845,1391,9,2024-02-09,1425.15,1333.47,1416.67,In Warranty,2024-02-21,Service Center 2,2024-02-18
846,1390,11,2024-02-09,2154.64,2234.65,183.42,In Warranty,2024-02-16,Service Center 1,2024-02-12
847,1391,8,2024-02-09,1919.32,577.64,935.38,In Warranty,2024-02-21,Service Center 2,2024-02-18
848,1395,19,2024-02-10,23108.21,1510.4,1560.17,In Warranty,2024-02-27,Service Center 5,2024-02-26
849,1400,18,2024-02-10,10098.39,1894.13,209.74,In Warranty,2024-02-14,Service Center 2,2024-02-10
850,1399,27,2024-02-11,8814.8,3393.74,530.18,In Warranty,2024-02-14,Service Center 3,2024-02-11
851,1403,7,2024-02-11,950.87,1172.07,53.22,In Warranty,2024-02-15,Service Center 4,2024-02-11
852,1412,2,2024-02-12,626.5,4144.3,1997.86,In Warranty,2024-03-07,Service Center 1,2024-03-03
853,1402,25,2024-02-12,5924.38,5837.64,1159.82,Out of Warranty,2024-02-22,Service Center 2,2024-02-17
854,1401,7,2024-02-12,857.55,736.6,131.48,In Warranty,2024-02-18,Service Center 7,2024-02-13
855,1398,27,2024-02-13,8891.34,3412.98,668.08,In Warranty,2024-02-16,Service Center 2,2024-02-13
856,1414,1,2024-02-13,1279.15,3987.79,2806.0,In Warranty,2024-03-09,Service Center 6,2024-03-06
857,1404,24,2024-02-13,1165.8,2240.83,147.37,In Warranty,2024-02-17,Service Center 6,2024-02-14
858,1413,9,2024-02-13,1571.74,787.28,1460.71,In Warranty,2024-03-10,Service Center 6,2024-03-07
859,1417,18,2024-02-14,9660.38,1359.31,709.42,In Warranty,2024-02-24,Service Center 4,2024-02-22
860,1405,19,2024-02-15,20915.51,1580.74,1042.47,In Warranty,2024-03-06,Service Center 7,2024-02-28
861,1405,21,2024-02-15,4092.18,599.93,1748.97,In Warranty,2024-03-06,Service Center 7,2024-02-28
862,1410,8,2024-02-16,1828.38,912.83,1042.35,In Warranty,2024-02-25,Service Center 6,2024-02-23
863,1421,30,2024-02-16,844.76,1432.69,713.57,In Warranty,2024-03-03,Service Center 2,2024-02-26
864,1416,29,2024-02-17,5082.62,2152.56,380.8,In Warranty,2024-02-19,Service Center 8,2024-02-17
865,1423,15,2024-02-18,14711.15,1353.49,81.47,In Warranty,2024-02-20,Service Center 2,2024-02-18
866,1426,18,2024-02-18,9339.36,1465.51,500.97,In Warranty,2024-03-01,Service Center 1,2024-02-24
867,1411,7,2024-02-18,934.15,755.41,47.99,In Warranty,2024-02-19,Service Center 3,2024-02-18
868,1435,28,2024-02-18,341.03,1991.1,281.19,In Warranty,2024-02-23,Service Center 7,2024-02-21
869,1435,27,2024-02-18,8747.61,747.75,1792.58,In Warranty,2024-02-23,Service Center 7,2024-02-21
870,1436,21,2024-02-19,4039.53,1817.61,1529.66,In Warranty,2024-03-18,Service Center 1,2024-03-13
871,1427,9,2024-02-20,1437.67,1364.83,1531.17,In Warranty,2024-03-01,Service Center 8,2024-02-25
872,1448,20,2024-02-21,5520.74,1932.73,1415.05,In Warranty,2024-02-27,Service Center 1,2024-02-24
873,1434,18,2024-02-21,9749.86,1241.62,688.29,In Warranty,2024-03-13,Service Center 6,2024-03-08
874,1440,28,2024-02-22,335.86,3080.55,251.57,In Warranty,2024-03-02,Service Center 8,2024-02-27
875,1458,11,2024-02-24,2165.1,1546.44,138.6,In Warranty,2024-03-02,Service Center 1,2024-02-26
876,1456,7,2024-02-24,957.27,778.84,43.76,In Warranty,2024-02-29,Service Center 8,2024-02-24
877,1456,10,2024-02-24,3573.8,376.98,150.57,In Warranty,2024-02-29,Service Center 8,2024-02-24
878,1459,9,2024-02-25,1565.2,1325.43,384.36,In Warranty,2024-03-03,Service Center 7,2024-02-25
879,1462,8,2024-02-25,1793.43,1435.64,1046.14,In Warranty,2024-03-05,Service Center 4,2024-02-29
880,1460,1,2024-02-25,1148.94,5662.55,581.32,In Warranty,2024-02-27,Service Center 2,2024-02-25
881,1466,19,2024-02-25,20904.73,1271.74,1121.52,In Warranty,2024-03-08,Service Center 4,2024-03-03
882,1453,20,2024-02-25,5058.71,2015.49,1188.92,Out of Warranty,2024-03-14,Service Center 3,2024-03-01
883,1447,9,2024-02-26,1428.56,861.59,1125.9,In Warranty,2024-03-10,Service Center 1,2024-03-06
884,1450,7,2024-02-26,893.85,980.67,176.79,In Warranty,2024-03-04,Service Center 1,2024-02-28
885,1463,27,2024-02-27,8645.07,2014.9,1642.82,In Warranty,2024-03-02,Service Center 3,2024-03-01
886,1444,20,2024-02-28,5528.12,1679.41,405.27,In Warranty,2024-03-06,Service Center 6,2024-02-28
887,1477,18,2024-02-28,10302.84,1299.72,202.94,In Warranty,2024-03-03,Service Center 2,2024-02-28
888,1444,19,2024-02-28,23379.13,537.41,344.37,In Warranty,2024-03-06,Service Center 6,2024-02-28
889,1441,13,2024-02-29,462.34,2146.34,1267.87,In Warranty,2024-03-04,Service Center 7,2024-03-01
890,1471,8,2024-02-29,1866.41,1379.47,1121.13,In Warranty,2024-03-10,Service Center 1,2024-03-04
891,1465,9,2024-03-01,1437.3,1365.17,1475.47,In Warranty,2024-03-08,Service Center 3,2024-03-07
892,1478,28,2024-03-02,356.99,1885.79,67.05,In Warranty,2024-03-05,Service Center 8,2024-03-02
893,1495,15,2024-03-02,14067.79,1121.23,333.52,In Warranty,2024-03-10,Service Center 5,2024-03-05
894,1479,20,2024-03-02,5506.36,2374.14,413.04,In Warranty,2024-03-04,Service Center 2,2024-03-02
895,1479,21,2024-03-02,3759.52,693.76,496.38,In Warranty,2024-03-04,Service Center 2,2024-03-02
896,1467,8,2024-03-03,1722.18,1310.25,416.78,In Warranty,2024-03-06,Service Center 1,2024-03-03
897,1486,11,2024-03-03,2327.57,2131.01,154.25,In Warranty,2024-03-09,Service Center 4,2024-03-05
898,1499,15,2024-03-03,15403.34,999.65,216.94,In Warranty,2024-03-18,Service Center 1,2024-03-14
899,1490,24,2024-03-03,1203.6,1793.73,156.84,In Warranty,2024-03-08,Service Center 2,2024-03-04
900,1493,15,2024-03-04,14638.13,1572.84,231.82,In Warranty,2024-03-19,Service Center 4,2024-03-16
901,1498,15,2024-03-05,14850.56,1916.69,295.1,In Warranty,2024-03-17,Service Center 3,2024-03-15
902,1496,16,2024-03-05,1971.3,1703.35,314.34,In Warranty,2024-03-12,Service Center 4,2024-03-10
903,1488,15,2024-03-06,13996.82,1921.18,74.9,In Warranty,2024-03-08,Service Center 5,2024-03-06
904,1501,20,2024-03-06,5162.75,1718.94,314.92,Out of Warranty,2024-03-07,Service Center 1,2024-03-06
905,1494,18,2024-03-06,9415.76,1394.05,206.2,In Warranty,2024-03-09,Service Center 6,2024-03-06
906,1487,16,2024-03-06,1846.93,1545.72,92.52,In Warranty,2024-03-10,Service Center 5,2024-03-06
907,1524,15,2024-03-07,15674.05,1149.1,227.1,In Warranty,2024-03-23,Service Center 2,2024-03-14
908,1502,2,2024-03-07,626.31,3688.68,1341.26,In Warranty,2024-03-21,Service Center 1,2024-03-18
909,1500,16,2024-03-07,1921.66,1676.6,277.19,In Warranty,2024-03-28,Service Center 7,2024-03-19
910,1517,16,2024-03-07,1920.19,1290.27,97.48,In Warranty,2024-03-11,Service Center 2,2024-03-07
911,1532,15,2024-03-08,15511.72,1345.61,320.36,In Warranty,2024-03-12,Service Center 4,2024-03-11
912,1484,30,2024-03-08,879.62,1392.1,641.73,In Warranty,2024-03-12,Service Center 3,2024-03-09
913,1520,17,2024-03-08,7182.29,1634.01,230.51,In Warranty,2024-03-25,Service Center 2,2024-03-21
914,1529,30,2024-03-08,834.33,1295.37,595.87,In Warranty,2024-03-17,Service Center 1,2024-03-13
915,1492,25,2024-03-08,5671.47,7688.95,1028.57,In Warranty,2024-03-14,Service Center 7,2024-03-10
916,1514,15,2024-03-08,14183.19,1758.1,333.38,In Warranty,2024-03-20,Service Center 7,2024-03-18
917,1539,15,2024-03-08,14915.71,1320.73,325.9,In Warranty,2024-03-17,Service Center 1,2024-03-16
918,1536,7,2024-03-09,914.43,1360.31,137.3,In Warranty,2024-03-14,Service Center 2,2024-03-10
919,1527,16,2024-03-09,1822.4,1238.74,238.12,In Warranty,2024-03-18,Service Center 4,2024-03-17
920,1518,6,2024-03-10,2468.48,1679.37,1239.23,In Warranty,2024-03-24,Service Center 6,2024-03-22
921,1537,13,2024-03-10,461.53,1809.12,392.86,In Warranty,2024-03-17,Service Center 5,2024-03-10
922,1482,7,2024-03-11,969.62,1039.94,161.51,In Warranty,2024-03-17,Service Center 1,2024-03-14
923,1540,25,2024-03-11,5159.94,4554.29,1004.38,In Warranty,2024-03-16,Service Center 3,2024-03-15
924,1535,17,2024-03-11,7252.02,1791.15,329.32,In Warranty,2024-04-03,Service Center 3,2024-03-27
925,1519,15,2024-03-11,15187.09,1388.08,254.56,In Warranty,2024-03-16,Service Center 1,2024-03-12
926,1521,13,2024-03-11,432.11,2083.14,528.25,In Warranty,2024-03-15,Service Center 4,2024-03-11
927,1521,14,2024-03-11,711.68,1043.96,190.83,In Warranty,2024-03-15,Service Center 4,2024-03-11
